ID,SumFormula,CellVolume,FormulaUnitsPerCell,FormulaWeight,Temperature,Pressure,Density,Year,NumElements,NumVanadium
52331,Sb2 V1,241.95,4,294.4400,293.00,0.101325,8.08,1972,2,1.0
52330,Sb1 V3,120.63,2,274.5700,293.00,0.101325,7.56,1969,2,3.0
97337,D0.384 Cr1 Nb1 V1,361.99,8,196.6241,295.00,0.101325,7.22,2003,4,1.0
246907,I2 V1,94.39,1,304.7400,4.20,0.101325,5.36,1983,2,1.0
246905,Cl2 V1,64.39,1,121.8400,1.40,0.101325,3.14,1983,2,1.0
246906,Br2 V1,75.62,1,210.7400,1.50,0.101325,4.63,1983,2,1.0
83,P1.7455 V1,290.61,8,104.9981,293.00,0.101325,4.80,1976,2,1.0
72742,H4 As2 O9 V1,680.23,4,348.8030,293.00,0.101325,3.41,1992,4,1.0
72748,As1 Na1 O5 V1,378.71,4,228.8450,293.00,0.101325,4.01,1992,4,1.0
405961,Mo1.46 O12 V1.54 Zn3.77,921.89,4,656.9529,153.20,0.101325,4.73,1997,4,1.54
406329,Ba1 O9 P2 V1 Zn1,1476.88,8,459.5810,293.00,0.101325,4.13,1997,5,1.0
72755,Fe9.74 N0.44 V1.74 Y1,349.16,2,727.6827,293.00,0.101325,6.92,1992,4,1.74
97401,Cs4 O3 S4 V2,1431.10,4,809.7730,153.00,0.101325,3.76,2003,4,2.0
97400,H5 N1 O7 Se2 V1,329.45,2,339.9000,153.00,0.101325,3.43,2003,5,1.0
240780,C6 H64 Mo51 N36 O216.81 V9,24715.00,4,9460.9732,293.00,0.101325,2.54,2007,6,9.0
246929,N0.27 O4.61 V3,356.75,4,230.3573,293.00,0.101325,4.29,2009,3,3.0
406667,Ba1 Cu4 O17 P4 V1,654.35,2,838.3430,293.00,0.101325,4.25,1997,5,1.0
169871,Se1 V1,70.11,2,129.9000,294.00,0.101325,6.15,2010,2,1.0
407013,F4 Na1 V1,310.14,4,149.9300,293.00,0.101325,3.21,1997,3,1.0
407014,F7 Mn1 Na2 V1,879.58,6,284.8600,293.00,0.101325,3.23,1997,4,1.0
52416,Sc1 Si3 V4,224.74,2,332.9780,293.00,0.101325,4.92,1983,3,4.0
407015,F7 Na2 Ni1 V1,557.82,4,288.6300,293.00,0.101325,3.44,1997,4,1.0
407016,Cu1 F7 Na2 V1,565.06,4,293.4700,293.00,0.101325,3.45,1997,4,1.0
196925,Ga0.56 Sb0.44 V2.93,117.07,2,241.8674,293.00,0.101325,6.86,1978,3,2.93
240782,Sb8 V3.54 Zr7.46,1565.78,4,1834.8288,295.00,0.101325,7.78,1999,3,3.54
197,O13 V7,397.03,2,564.5670,293.00,0.101325,4.72,1976,2,7.0
199,O2 V1,274.03,8,82.9380,293.00,0.101325,4.02,1976,2,1.0
193801,F1.46 Na3 O9.54 P2 V2,867.92,4,413.1605,293.00,0.101325,3.16,2013,5,2.0
415055,H412 K24 Mo72 Na8 O538 S12 V32,53222.29,4,19067.6060,183.00,0.101325,2.38,2005,7,32.0
193802,F3 Na2.26 O8 P2 V2,855.65,4,400.7694,293.00,0.101325,3.11,2013,5,2.0
72809,O7 Tl4 V2,236.17,1,1031.3530,293.00,0.101325,7.25,1992,3,2.0
97443,Mo0.04 O3 V1.96,201.10,4,151.6770,10.00,0.101325,5.01,2003,3,1.96
72810,O7 Tl4 V2,236.17,1,1031.3530,293.00,0.101325,7.25,1992,3,2.0
97442,O3 V2,200.71,4,149.8770,10.00,0.101325,4.96,2003,2,2.0
97445,Mo0.1 O3 V1.9,201.14,4,154.3770,10.00,0.101325,5.10,2003,3,1.9
97444,Mo0.06 O3 V1.94,200.95,4,152.5770,10.00,0.101325,5.04,2003,3,1.94
97447,Mo0.2 O3 V1.8,298.53,6,158.8770,10.00,0.101325,5.30,2003,3,1.8
36214,Cl3 O1 V1,509.00,4,173.2890,133.00,0.101325,2.26,1983,3,1.0
97446,Mo0.1 O3 V1.9,297.50,6,154.3770,10.00,0.101325,5.17,2003,3,1.9
97448,Mo0.4 O3 V1.6,299.99,6,167.8770,10.00,0.101325,5.58,2003,3,1.6
36227,P1 S10 V2,2205.16,8,453.4900,293.00,0.101325,2.73,1983,3,2.0
246964,Ga0.08 Ge0.92 S8 V4,900.17,4,532.6324,298.00,0.101325,3.93,2009,4,4.0
36244,Cr1 O4 V1,273.16,4,166.9360,293.00,0.101325,4.06,1943,3,1.0
284,Mg1 O3 V1,278.13,4,123.2470,293.00,0.101325,2.94,1976,3,1.0
246953,O3 V1 Y1,223.46,4,187.8420,126.00,0.101325,5.58,1994,3,1.0
246954,O3 V1 Y1,222.70,4,187.8420,56.00,0.101325,5.60,1994,3,1.0
624241,Co3 Mo0.25 V0.75,409.20,9,238.9800,293.00,0.101325,8.73,1967,3,0.75
52463,Si5 Ta2 V4,605.58,4,706.0900,293.00,0.101325,7.74,1977,3,4.0
52462,Si0.6 Sn0.4 V3,112.12,2,217.1476,293.00,0.101325,6.43,1972,3,3.0
52464,Si1 Ta0.4 V2.6,107.85,2,232.9100,293.00,0.101325,7.17,1977,3,2.6
52467,Si1 Ti0.6 V2.4,107.99,2,179.0820,293.00,0.101325,5.51,1965,3,2.4
52466,Si1 Ti0.52 V2.48,107.92,2,179.3252,293.00,0.101325,5.52,1977,3,2.48
304,H4 F1 N1 O6 V3,279.92,2,285.8530,293.00,0.101325,3.39,1976,5,3.0
72846,Cu1 Li1 O4 V1,286.68,4,185.4250,293.00,0.101325,4.30,1992,4,1.0
72847,Cu1 Li0.9 O4 V1,286.93,4,184.7311,293.00,0.101325,4.28,1992,4,1.0
72848,Cu1 Li0.9 O4 V1,287.34,4,184.7311,293.00,0.101325,4.27,1992,4,1.0
246967,Ga0.39 Ge0.61 S8 V4,900.88,4,531.7427,298.00,0.101325,3.92,2009,4,4.0
307,O9 P2 Si1 V1,624.86,4,284.9570,293.00,0.101325,3.03,1976,4,1.0
72849,Cu1 Li0.8 O4 V1,287.04,4,184.0372,293.00,0.101325,4.26,1992,4,1.0
52472,Si1 V3,105.64,2,180.9060,293.00,0.101325,5.69,1983,2,3.0
246968,Ga0.66 Ge0.34 S8 V4,901.31,4,530.9678,298.00,0.101325,3.91,2009,4,4.0
72850,Cu1 Li0.8 O4 V1,287.90,4,184.0372,293.00,0.101325,4.25,1992,4,1.0
52475,Si1 V2.8 Zr0.2,106.50,2,188.9620,293.00,0.101325,5.89,1965,3,2.8
624256,Co2 N1 V4,1277.29,16,335.6270,293.00,0.101325,6.98,1967,3,4.0
246965,Ga0.18 Ge0.82 S8 V4,900.21,4,532.3454,298.00,0.101325,3.93,2009,4,4.0
52474,Si1 V2.4 W0.6,107.31,2,260.6520,293.00,0.101325,8.07,1977,3,2.4
246966,Ga0.31 Ge0.69 S8 V4,900.42,4,531.9723,200.00,0.101325,3.92,2009,4,4.0
156599,H4 Al0.43 Ca1.92 Cu0.01 Fe0.26 Mg0.2 Mn0.15 Na0.08 O14 Si2.91 Ti0.02 V2.04,1026.66,4,533.2776,293.00,0.101325,3.45,2006,12,2.04
36298,Cu3 S4 V1,155.63,1,369.8460,293.00,0.101325,3.95,1936,3,1.0
72862,H3 Ni0.5 O6.5 P1 V1,941.15,8,218.2825,293.00,0.101325,3.08,1992,5,1.0
193834,B2 V1,23.80,1,72.5620,293.00,0.101325,5.06,2014,2,1.0
361,C2 H8 F1 N2 O6 V1,772.05,4,226.0340,293.00,0.101325,1.94,1976,6,1.0
52509,Te1 V1,84.26,2,178.5400,293.00,0.101325,7.04,1970,2,1.0
363,H4 I1 O7 V1,564.82,4,293.8650,293.00,0.101325,3.46,1976,4,1.0
72886,Ca1 O10 P2 V2,1338.58,8,363.8900,293.00,0.101325,3.61,1992,4,2.0
52510,Te4 V3,312.09,2,663.2200,293.00,0.101325,7.06,1989,2,3.0
97524,Ba6 Na2 O17 Ru2 V2,878.17,2,1446.0230,293.00,0.101325,5.47,2003,5,2.0
97526,Ba6 Na2 O17 Ru2 V2,878.24,2,1446.0230,300.00,0.101325,5.47,2003,5,2.0
156622,H4 Mg0.63 Mn8.57 Na0.8 O32 Si9 V1,1254.13,2,1324.2571,293.00,0.101325,3.51,2006,7,1.0
607921,Al1 Gd3 S7 V1,492.84,2,774.1180,293.00,0.101325,5.22,1970,4,1.0
97532,O18 Te4 V4,690.73,2,1002.1420,293.00,0.101325,4.82,2003,3,4.0
169976,Ag3 F4 O2 V1,269.17,2,482.5480,98.00,0.101325,5.95,2010,4,1.0
156628,H18 Al4 Fe0.01 Ni0.55 O19 S1 V0.02 Zn0.39,1550.33,4,521.4711,293.00,0.101325,2.23,2005,8,0.02
240862,Ge0.74 O2 V0.21,55.51,2,96.4120,295.00,0.101325,5.77,2007,3,0.21
52537,V1,27.81,2,50.9400,298.00,0.101325,6.08,1969,1,1.0
400,La1 O4 V1,333.76,4,253.8460,293.00,0.101325,5.05,1976,3,1.0
36382,F1 K2 O5 V1,546.17,4,228.1350,293.00,0.101325,2.77,1984,4,1.0
100556,H3 Al5.93 B2.98 Ca0.36 Cr0.19 Fe0.18 Mg2.05 Na0.46 O31 Si5.63 Ti0.06 V1.14,1587.69,3,1005.0437,293.00,0.101325,3.15,1979,12,1.14
624335,Co3 Nb0.5 V0.5,426.21,9,248.7150,293.00,0.101325,8.72,1967,3,0.5
422018,H26 As6 O52 V15,7534.29,6,2071.7760,273.00,0.101325,2.74,2010,4,15.0
422019,H54 As6 La2 O69 V15,6535.95,4,2649.8030,273.00,0.101325,2.69,2010,5,15.0
421,C4 H12 F1 Na3 O15 V1,780.10,2,439.0350,293.00,0.101325,1.87,1976,6,1.0
422020,H56 As6 O70 Sm2 V15,6351.29,4,2690.6980,273.00,0.101325,2.81,2010,5,15.0
422021,H54 As6 Ce2 O69 V15,6506.18,4,2652.2230,273.00,0.101325,2.71,2010,5,15.0
100660,H56 Al1 Ca4.5 O68 V14,10676.65,8,2064.8800,293.00,0.101325,2.57,1978,5,14.0
657130,Fe10 Nd1 V2,350.04,2,804.6200,293.00,0.101325,7.63,1992,3,2.0
657131,Fe10 Sm1 V2,347.79,2,810.7300,293.00,0.101325,7.74,1992,3,2.0
657129,Fe10 V2 Y1,344.15,2,749.2850,293.00,0.101325,7.23,1992,3,2.0
657134,Er1 Fe10 V2,341.93,2,827.6400,293.00,0.101325,8.04,1992,3,2.0
657135,Fe10 N1 V2 Y1,354.42,2,763.2920,293.00,0.101325,7.15,1992,4,2.0
657132,Fe10 Gd1 V2,343.69,2,817.6300,293.00,0.101325,7.90,1992,3,2.0
657133,Dy1 Fe10 V2,342.45,2,822.8800,293.00,0.101325,7.98,1992,3,2.0
657138,Fe10 Gd1 N1 V2,344.68,2,831.6370,293.00,0.101325,8.01,1992,4,2.0
250126,Mn2 O7 P1.09 V0.91,242.65,2,301.9857,293.00,0.101325,4.13,2000,4,0.91
657139,Dy1 Fe10 N1 V2,352.54,2,836.8870,293.00,0.101325,7.88,1992,4,2.0
657136,Fe10 N1 Nd1 V2,358.41,2,818.6270,293.00,0.101325,7.59,1992,4,2.0
657137,Fe10 N1 Sm1 V2,356.38,2,824.7370,293.00,0.101325,7.69,1992,4,2.0
100875,H1 O4 Ti1 V1,262.25,4,163.8440,293.00,0.101325,4.15,1981,4,1.0
657140,Er1 Fe10 N1 V2,350.61,2,841.6470,293.00,0.101325,7.97,1992,4,2.0
250137,Bi1 Ca8.5 O28 V7 Zn0.5,3873.20,6,1386.8970,293.00,0.101325,3.57,2004,5,7.0
250138,Bi1 Ca8 O28 V7 Zn1,3857.08,6,1399.5420,293.00,0.101325,3.62,2004,5,7.0
240924,Mg2 Na1 O10 V3,402.63,2,384.4200,293.00,0.101325,3.17,2008,4,3.0
71697,Ga1 Mg1.68 O11 V3 Zn0.32,410.57,2,460.2882,293.00,0.101325,3.72,1992,5,3.0
608023,Al0.3 Ge0.7 V3,110.18,2,211.7270,293.00,0.101325,6.38,1972,3,3.0
628,O9 P2 Si1 V1,620.22,4,284.9570,293.00,0.101325,3.05,1976,4,1.0
608025,Al0.1 Ge0.9 V3,109.63,2,220.8490,293.00,0.101325,6.69,1969,3,3.0
608026,Al0.3 Ge0.7 V3,110.45,2,211.7270,293.00,0.101325,6.37,1970,3,3.0
21757,Fe1 O4 V1,114.25,2,170.7860,298.00,12300.0,4.96,2018,3,1.0
21758,Fe1 O4 V1,270.77,4,170.7860,298.00,5200.0,4.19,2018,3,1.0
200704,H7 Cu1 O10 U1 V1,841.45,4,519.5660,293.00,0.101325,4.10,1980,5,1.0
657207,Fe10 N1 Nd1 V2,356.93,2,818.6270,293.00,0.101325,7.62,1992,4,2.0
21756,Fe1 O4 V1,465.76,6,170.7860,298.00,0.101325,3.65,2018,3,1.0
52657,Al0.2 Si0.8 V3,106.23,2,180.6848,293.00,0.101325,5.65,1977,3,3.0
428131,H2 Ba1 O11 Se2 V2,988.28,4,575.1450,150.00,0.101325,3.87,2014,5,2.0
657208,Fe10 Nd1 V2,347.93,2,804.6200,293.00,0.101325,7.68,1992,3,2.0
807,Cd4 K1 O12 V3,1109.15,4,833.5080,293.00,0.101325,4.99,1977,4,3.0
193929,H134 Cu8 Mo30 N20 O160 V10,4549.69,1,6871.0520,293.00,0.101325,2.51,2014,6,10.0
193930,H136 Cu11 Mo30 N10 Na1 O177 V9,19575.00,4,7167.6810,293.00,0.101325,2.43,2014,7,9.0
193928,H138 Cu8.5 Mo23 N9.5 Na0.5 O155 V9,17685.87,4,5968.7655,293.00,0.101325,2.24,2014,7,9.0
71760,Na1 O8 S2 V1,295.11,2,266.0500,293.00,0.101325,2.99,1991,4,1.0
657229,Fe15.997 Sm2 V1.003,818.94,3,1245.2253,293.00,0.101325,7.57,1992,3,1.003
657236,Fe15.997 N2.2 Sm2 V1.003,857.80,3,1276.0407,293.00,0.101325,7.41,1992,4,1.003
71785,Cr0.6667 O4 Sb0.6667 V0.6667,63.13,1,213.7968,293.00,0.101325,5.62,1991,4,0.6667
847,Cs0.35 O7 V3,304.75,2,311.3315,293.00,0.101325,3.39,1977,3,3.0
848,Cs0.3 O5 V2,644.86,6,221.7480,293.00,0.101325,3.43,1977,3,2.0
419431,H10 N2 O10 Te1 V2,2030.94,8,427.5640,293.00,0.101325,2.80,2010,5,2.0
849,Cs2 O13 V5,707.68,2,728.5070,293.00,0.101325,3.42,1977,3,5.0
202425,Ce1 O4 V1,350.88,4,255.0560,293.00,0.101325,4.83,1987,3,1.0
850,Cs1 O5 V2,540.84,4,314.7850,293.00,0.101325,3.87,1977,3,2.0
52692,Ba1 S3 V1,434.25,4,284.4720,5.00,0.101325,4.35,1986,3,1.0
156790,H1 Al1.16 Ca0.59 Ce0.39 Fe0.33 La0.15 Mg0.03 Mn0.98 Nd0.1 O13 Si3 Sm0.02 Sr0.11 Ti0.01 V1.11,468.50,2,580.7729,293.00,0.101325,4.12,2006,15,1.11
193944,H6 Ca1 O19 V6,709.00,2,655.7490,293.00,0.101325,3.07,2014,4,6.0
866,La1 Na3 O8 V2,1543.65,8,437.7520,293.00,0.101325,3.77,1976,4,2.0
37122,Se8 Tl1 V5,549.44,2,1090.7500,293.00,0.101325,6.59,1983,3,5.0
180148,O64 V51.6,1138.61,1,3652.4400,300.00,0.101325,5.33,2011,2,51.6
241133,Ba3 Cl4 Li2 O7 V2,1335.90,4,781.5710,293.00,0.101325,3.89,2008,5,2.0
202164,H1 As1 Fe1 O14 Ti3 V3,486.51,2,652.2840,293.00,0.101325,4.45,1987,6,3.0
913,Al8 V5,787.35,4,470.5400,293.00,0.101325,3.97,1977,2,5.0
241145,O21 Rb2 Si8 V2,988.64,2,833.4870,301.00,0.101325,2.80,2008,4,2.0
71847,H37 K4 Mo11 O58 Si1 V1,2762.12,2,2256.0040,183.00,0.101325,2.71,1991,6,1.0
71848,H38 K4 Mo9 O58 P1 V3,2762.24,2,2169.8960,183.00,0.101325,2.61,1991,6,3.0
193965,Mn2 O8 Sr1 V2,1346.83,8,427.3720,300.00,0.101325,4.22,2014,4,2.0
202163,H1 As0.94 Ba0.35 Fe2.3 O14 Ti2.41 V2.3,492.11,2,704.5438,293.00,0.101325,4.75,1987,7,2.3
193964,Co2 O8 Sr1 V2,1267.74,8,435.3520,300.00,0.101325,4.56,2014,4,2.0
71868,O11 Sr1 V6,377.32,2,569.2490,293.00,0.101325,5.01,1992,3,6.0
71869,Na1 O11 V6,370.12,2,504.6190,293.00,0.101325,4.53,1992,3,6.0
624542,Co2.6 Ni0.4 V1,269.37,6,227.6420,293.00,0.101325,8.42,1969,3,1.0
624540,Co2 Ni1 V1,401.57,9,227.5100,293.00,0.101325,8.47,1966,3,1.0
624544,Co0.9 Ni2.1 V1,90.17,2,227.2680,293.00,0.101325,8.37,1969,3,1.0
241184,O7 Sr1 V3,294.60,2,352.4330,175.00,0.101325,3.97,2007,3,3.0
241185,O7 Sr1 V3,294.35,2,352.4330,150.00,0.101325,3.98,2007,3,3.0
253434,Fe2 K1 S16 V8,473.17,2,1071.3440,295.00,0.101325,7.52,2016,4,8.0
241186,O7 Sr1 V3,293.98,2,352.4330,125.00,0.101325,3.98,2007,3,3.0
241187,O7 Sr1 V3,294.31,2,352.4330,100.00,0.101325,3.98,2007,3,3.0
241180,O7 Sr1 V3,295.75,2,352.4330,250.00,0.101325,3.96,2007,3,3.0
241181,O7 Sr1 V3,295.38,2,352.4330,225.00,0.101325,3.96,2007,3,3.0
241182,O7 Sr1 V3,295.00,2,352.4330,200.00,0.101325,3.97,2007,3,3.0
241183,O7 Sr1 V3,294.85,2,352.4330,187.00,0.101325,3.97,2007,3,3.0
193996,C94 Cl23.44 V0.37,3305.12,2,1978.8298,100.00,0.101325,1.99,2015,3,0.37
241176,O7 Sr1 V3,296.66,2,352.4330,315.00,0.101325,3.95,2007,3,3.0
241177,O7 Sr1 V3,296.42,2,352.4330,298.00,0.101325,3.95,2007,3,3.0
241178,O7 Sr1 V3,296.11,2,352.4330,275.00,0.101325,3.95,2007,3,3.0
241179,O7 Sr1 V3,295.91,2,352.4330,262.00,0.101325,3.96,2007,3,3.0
241200,Ca1 O7 V3,571.67,4,304.8930,175.00,0.101325,3.54,2007,3,3.0
986,As2.74 V5,435.79,4,459.9808,293.00,0.101325,7.01,1977,2,5.0
241201,Ca1 O7 V3,571.31,4,304.8930,162.00,0.101325,3.54,2007,3,3.0
241202,Ca1 O7 V3,571.32,4,304.8930,150.00,0.101325,3.54,2007,3,3.0
241203,Ca1 O7 V3,571.08,4,304.8930,137.00,0.101325,3.55,2007,3,3.0
241196,Ca1 O7 V3,572.18,4,304.8930,212.00,0.101325,3.54,2007,3,3.0
241197,Ca1 O7 V3,572.04,4,304.8930,206.00,0.101325,3.54,2007,3,3.0
241198,Ca1 O7 V3,571.87,4,304.8930,200.00,0.101325,3.54,2007,3,3.0
241199,Ca1 O7 V3,571.63,4,304.8930,187.00,0.101325,3.54,2007,3,3.0
241192,Ca1 O7 V3,572.55,4,304.8930,250.00,0.101325,3.54,2007,3,3.0
241193,Ca1 O7 V3,572.50,4,304.8930,237.00,0.101325,3.54,2007,3,3.0
241194,Ca1 O7 V3,572.19,4,304.8930,225.00,0.101325,3.54,2007,3,3.0
999,As2 V3,295.58,4,302.6600,293.00,0.101325,6.80,1977,2,3.0
241195,Ca1 O7 V3,572.22,4,304.8930,219.00,0.101325,3.54,2007,3,3.0
241188,Ca1 O7 V3,572.64,4,304.8930,297.00,0.101325,3.54,2007,3,3.0
241189,Ca1 O7 V3,573.11,4,304.8930,287.00,0.101325,3.53,2007,3,3.0
241190,Ca1 O7 V3,572.89,4,304.8930,275.00,0.101325,3.53,2007,3,3.0
253435,Fe1 S8 V4,421.42,2,516.1220,293.00,0.101325,4.07,2016,3,4.0
241191,Ca1 O7 V3,572.81,4,304.8930,262.00,0.101325,3.54,2007,3,3.0
203130,O5 Sb2 V1,472.77,4,374.4350,293.00,0.101325,5.26,1989,3,1.0
241973,C36 H78 N6 O24 V6,4057.44,3,1284.6780,90.00,0.101325,1.58,2016,5,6.0
241204,Ca1 O7 V3,570.74,4,304.8930,125.00,0.101325,3.55,2007,3,3.0
97693,Ag3 As0.3 Hg1 O4 V0.7,277.52,2,646.3300,293.00,0.101325,7.73,2003,5,0.7
241205,Ca1 O7 V3,570.95,4,304.8930,112.00,0.101325,3.55,2007,3,3.0
241206,Ca1 O7 V3,570.97,4,304.8930,100.00,0.101325,3.55,2007,3,3.0
196975,Pt1 V3,111.63,2,347.9100,293.00,0.101325,10.35,1956,2,3.0
406172,O8 V4 Yb1,276.80,2,504.7920,293.00,0.101325,6.06,1997,3,4.0
1047,Cl9 P1 V1,1196.98,4,400.9600,293.00,0.101325,2.22,1977,3,1.0
248050,As2 Cl2.33 Cs3.5 Na1.47 O17 V5,36327.18,48,1258.1018,293.00,0.101325,2.76,2010,6,5.0
248048,As2 Cl3.04 Cs3.64 Na1.4 O16 V4,35100.69,48,1233.3304,293.00,0.101325,2.80,2010,6,4.0
248049,As2 Cl0.99 Cs3.88 Na0.12 O16.6 V4.6,35796.70,48,1203.2925,293.00,0.101325,2.68,2010,6,4.6
38018,O64 V51.61,1134.53,1,3652.9494,293.00,0.101325,5.35,1979,2,51.61
248061,H8 Cs2 O21 P4 V3,1878.77,4,886.5630,293.00,0.101325,3.13,2010,5,3.0
248062,H1 Cs2 O11 P2 V2,1077.52,4,606.6370,293.00,0.101325,3.74,2010,5,2.0
97737,H20 Cs4 Na2 O38 V10,888.73,1,1715.1420,293.00,0.101325,3.20,2003,5,10.0
194074,Bi0.9 Ce0.1 O4 V1,309.21,4,317.0300,293.00,0.101325,6.81,2014,4,1.0
194075,Bi0.65 Ce0.35 O4 V1,347.31,4,299.8150,293.00,0.101325,5.73,2014,4,1.0
426125,H10.06 Bi2 K1.78 Mo9.4 O45.03 V3.6,7627.92,8,2303.3535,100.00,0.101325,4.01,2014,6,3.6
624659,Co1 P1 V1,142.74,4,140.8400,293.00,0.101325,6.55,1979,3,1.0
194073,Bi0.9 Ce0.1 O4 V1,309.04,4,317.0300,293.00,0.101325,6.81,2014,4,1.0
425857,H14.1 Bi2 Mo9.4 O47.05 V3.6,7601.22,8,2270.1458,100.00,0.101325,3.97,2014,5,3.6
38054,H0.3 O2 V1,59.85,2,83.2404,293.00,0.101325,4.62,1983,3,1.0
292077,Pd0.977 V0.023,58.81,4,105.1244,293.00,0.101325,11.87,1962,2,0.023
38065,Ag4 O7 V2,2853.93,16,645.3530,293.00,0.101325,6.01,1983,3,2.0
421613,H162 K12 O239 P6 Rb6 V8 W39,9779.43,2,12732.5670,173.00,0.101325,4.32,2010,7,8.0
38069,F2 V1,74.63,2,88.9400,293.00,0.101325,3.96,1983,2,1.0
194085,O8 Te2 V1 Y1,1277.83,8,523.0370,298.00,0.101325,5.44,2014,4,1.0
194086,O8 Se2 V1 Y1,618.63,4,425.7570,298.00,0.101325,4.57,2014,4,1.0
1134,C6 H1.5 K4.5 N7 O2 V1,747.17,2,430.5150,293.00,0.101325,1.91,1977,6,1.0
97784,O3 V1 Yb1,218.38,4,271.9770,2.00,0.101325,8.27,2003,3,1.0
97783,O3 V1 Yb1,219.72,4,271.9770,293.00,0.101325,8.22,2003,3,1.0
97785,C2 H15 N2 O17 P4 V2,677.74,2,564.8990,293.00,0.101325,2.77,2003,6,2.0
156978,D1.88 Mn0.07 Ti0.33 V0.6,81.35,4,54.0069,293.00,0.101325,4.41,2007,4,0.6
38121,H4 N1 O3 V1,340.20,4,116.9760,293.00,0.101325,2.28,1954,4,1.0
52910,Ce0.009 Si1 V2.991,105.76,2,181.7086,293.00,0.101325,5.71,1965,3,2.991
156979,D1.28 Mn0.07 Ti0.33 V0.6,81.18,4,52.7973,293.00,0.101325,4.32,2007,4,0.6
156980,D0.837 Mn0.07 Ti0.33 V0.6,32.77,2,51.9042,293.00,0.101325,5.26,2007,4,0.6
180344,Mo0.5 O3 Sr1 V0.5,61.84,1,209.0570,1173.00,0.101325,5.61,2011,4,0.5
608323,Al1 La3 S7 V1,538.48,2,719.0980,293.00,0.101325,4.44,1970,4,1.0
180342,Mo0.5 O3 Sr1 V0.5,60.40,1,209.0570,573.00,0.101325,5.75,2011,4,0.5
180343,Mo0.5 O3 Sr1 V0.5,60.81,1,209.0570,873.00,0.101325,5.71,2011,4,0.5
180341,Mo0.5 O3 Sr1 V0.5,59.99,1,209.0570,293.00,0.101325,5.79,2011,4,0.5
194099,Br2 F27 K10 O6 V6,1679.00,2,1465.4340,100.02,0.101325,2.90,2014,5,6.0
1210,Cr0.9375 N1 V0.0625,35.33,2,65.9408,5.00,0.101325,6.20,1977,3,0.0625
194098,Cl0.33 F27.67 K10 O6 V6,2484.43,3,1330.0625,100.00,0.101325,2.67,2014,5,6.0
1211,Cr0.875 N1 V0.125,35.29,2,65.8745,5.00,0.101325,6.20,1977,3,0.125
1225,Cd4.638 I1.388 O12 V3,597.64,2,1042.2564,293.00,0.101325,5.79,1977,4,3.0
1228,Br1.406 Cd4.86 O12 V3,585.43,2,1003.4114,293.00,0.101325,5.69,1977,4,3.0
201926,H1.932 Ba1.034 Cr0.272 O16.966 Ti5.968 V1.76,1217.78,4,805.0617,293.00,0.101325,4.39,1986,6,1.76
72118,Ca3 N3 V1,449.11,4,213.2010,298.00,0.101325,3.15,1992,3,1.0
202529,Cu1 Fe2 Na1 O12 V3,473.10,2,543.0480,293.00,0.101325,3.81,1988,5,3.0
420548,Cl1 O3 Pb1 V1,382.32,4,341.5770,298.00,0.101325,5.93,2009,4,1.0
657516,Ga1.8 Mn1 S4 V0.2,433.45,3,318.8800,293.00,0.101325,3.66,1992,4,0.2
